"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2019","0.35434","0.37138","0.37159","0.35137","203.45M","-4.59%"
"Jan 02, 2019","0.37138","0.36332","0.37684","0.35686","237.74M","2.24%"
"Jan 01, 2019","0.36326","0.35100","0.36328","0.34803","187.50M","3.49%"
"Dec 31, 2018","0.35100","0.36759","0.37198","0.34726","243.20M","-4.51%"
"Dec 30, 2018","0.36759","0.35945","0.36778","0.35439","198.71M","2.27%"
"Dec 29, 2018","0.35945","0.37364","0.38199","0.35789","319.80M","-3.80%"
"Dec 28, 2018","0.37365","0.33662","0.37852","0.33149","371.32M","11.01%"
"Dec 27, 2018","0.33661","0.37555","0.37742","0.32964","330.63M","-10.35%"
"Dec 26, 2018","0.37548","0.37866","0.39048","0.35731","348.24M","-0.84%"
"Dec 25, 2018","0.37866","0.40355","0.40594","0.36379","471.59M","-6.17%"
"Dec 24, 2018","0.40356","0.36986","0.45265","0.36983","849.15M","9.11%"
"Dec 23, 2018","0.36988","0.36033","0.38094","0.35896","300.30M","2.65%"
"Dec 22, 2018","0.36033","0.35655","0.36200","0.34634","224.78M","1.06%"
"Dec 21, 2018","0.35655","0.37552","0.38508","0.35120","402.38M","-5.05%"
"Dec 20, 2018","0.37552","0.34774","0.38671","0.34252","537.00M","7.99%"
"Dec 19, 2018","0.34774","0.35163","0.39475","0.34483","615.63M","-1.08%"
"Dec 18, 2018","0.35154","0.32913","0.35154","0.32375","410.25M","6.80%"
"Dec 17, 2018","0.32915","0.28815","0.33823","0.28659","342.54M","14.23%"
"Dec 16, 2018","0.28814","0.28546","0.29666","0.28527","131.00M","0.93%"
"Dec 15, 2018","0.28549","0.28927","0.29232","0.28162","117.66M","-1.31%"
"Dec 14, 2018","0.28927","0.30037","0.30076","0.28432","169.46M","-3.69%"
"Dec 13, 2018","0.30033","0.30656","0.30760","0.29696","141.35M","-2.05%"
"Dec 12, 2018","0.30662","0.30012","0.31244","0.29995","147.39M","1.58%"
"Dec 11, 2018","0.30186","0.30113","0.31126","0.29601","163.41M","0.24%"
"Dec 10, 2018","0.30114","0.31097","0.31497","0.29661","173.84M","-3.16%"
"Dec 09, 2018","0.31097","0.30414","0.32158","0.30026","184.54M","2.25%"
"Dec 08, 2018","0.30414","0.30165","0.32249","0.29254","263.89M","0.83%"
"Dec 07, 2018","0.30165","0.30878","0.31119","0.28866","403.58M","-2.31%"
"Dec 06, 2018","0.30879","0.33849","0.34520","0.30671","288.89M","-8.77%"
"Dec 05, 2018","0.33849","0.35309","0.35477","0.33828","198.90M","-4.14%"
"Dec 04, 2018","0.35312","0.34809","0.36289","0.33930","211.13M","1.44%"
"Dec 03, 2018","0.34811","0.36917","0.37056","0.34548","196.97M","-5.70%"
"Dec 02, 2018","0.36917","0.37328","0.38068","0.36669","136.20M","-1.10%"
"Dec 01, 2018","0.37328","0.36450","0.37899","0.35774","186.63M","2.41%"
"Nov 30, 2018","0.36448","0.38145","0.38313","0.35556","264.25M","-4.44%"
"Nov 29, 2018","0.38143","0.39252","0.39493","0.37340","350.56M","-2.83%"
"Nov 28, 2018","0.39252","0.36505","0.40331","0.36504","469.81M","7.52%"
"Nov 27, 2018","0.36506","0.36210","0.37379","0.34664","389.16M","0.82%"
"Nov 26, 2018","0.36210","0.38168","0.39766","0.34573","723.22M","-5.14%"
"Nov 25, 2018","0.38172","0.37934","0.39315","0.32801","927.80M","0.61%"
"Nov 24, 2018","0.37942","0.41318","0.42652","0.37027","471.98M","-8.20%"
"Nov 23, 2018","0.41331","0.42657","0.43275","0.39862","449.91M","-3.04%"
"Nov 22, 2018","0.42627","0.45214","0.45564","0.42496","250.74M","-5.69%"
"Nov 21, 2018","0.45202","0.44228","0.46693","0.41928","455.32M","2.10%"
"Nov 20, 2018","0.44273","0.48164","0.50672","0.41332","916.02M","-8.08%"
"Nov 19, 2018","0.48164","0.51556","0.51586","0.46932","645.21M","-6.58%"
"Nov 18, 2018","0.51555","0.49785","0.52971","0.49550","371.03M","3.61%"
"Nov 17, 2018","0.49760","0.47662","0.50309","0.47037","275.49M","4.41%"
"Nov 16, 2018","0.47660","0.48736","0.49299","0.46522","326.70M","-2.20%"
"Nov 15, 2018","0.48732","0.47997","0.49189","0.43236","536.21M","1.53%"
"Nov 14, 2018","0.47997","0.51629","0.51851","0.42382","603.51M","-7.04%"
"Nov 13, 2018","0.51629","0.52287","0.53210","0.51047","217.76M","-1.26%"
"Nov 12, 2018","0.52287","0.50946","0.53234","0.50487","195.05M","2.63%"
"Nov 11, 2018","0.50948","0.50845","0.51114","0.49783","90.76M","0.20%"
"Nov 10, 2018","0.50845","0.50383","0.51603","0.50282","102.49M","0.92%"
"Nov 09, 2018","0.50383","0.49621","0.52090","0.49580","223.36M","1.54%"
"Nov 08, 2018","0.49621","0.53994","0.54493","0.49313","309.85M","-8.08%"
"Nov 07, 2018","0.53980","0.55393","0.55463","0.52802","281.96M","-2.52%"
"Nov 06, 2018","0.55373","0.50118","0.56512","0.50118","631.27M","10.49%"
"Nov 05, 2018","0.50116","0.46967","0.50280","0.46376","304.86M","6.73%"
"Nov 04, 2018","0.46954","0.45694","0.47808","0.44973","194.35M","2.78%"
"Nov 03, 2018","0.45684","0.46121","0.46265","0.45521","104.47M","-0.95%"
"Nov 02, 2018","0.46122","0.46029","0.46626","0.45830","178.05M","0.20%"
"Nov 01, 2018","0.46029","0.45361","0.46055","0.45032","133.89M","1.47%"
"Oct 31, 2018","0.45361","0.44738","0.45889","0.43815","167.57M","1.42%"
"Oct 30, 2018","0.44726","0.44421","0.45238","0.44379","142.49M","0.69%"
"Oct 29, 2018","0.44421","0.46406","0.46463","0.43670","212.63M","-4.25%"
"Oct 28, 2018","0.46390","0.45992","0.46586","0.45834","149.77M","0.91%"
"Oct 27, 2018","0.45973","0.46505","0.46633","0.45749","133.55M","-1.14%"
"Oct 26, 2018","0.46505","0.46273","0.46847","0.45839","116.48M","0.50%"
"Oct 25, 2018","0.46275","0.46333","0.47080","0.45683","167.82M","-0.08%"
"Oct 24, 2018","0.46314","0.46870","0.47618","0.45994","161.66M","-1.19%"
"Oct 23, 2018","0.46869","0.46061","0.48298","0.44394","267.33M","1.75%"
"Oct 22, 2018","0.46061","0.46423","0.46784","0.45605","150.69M","-0.78%"
"Oct 21, 2018","0.46423","0.46712","0.47296","0.46322","230.82M","-0.62%"
"Oct 20, 2018","0.46712","0.45999","0.47113","0.45584","180.91M","1.55%"
"Oct 19, 2018","0.45999","0.46679","0.47116","0.45724","221.22M","-1.46%"
"Oct 18, 2018","0.46680","0.48330","0.49244","0.45553","342.26M","-3.34%"
"Oct 17, 2018","0.48294","0.48309","0.49529","0.47104","365.47M","-0.08%"
"Oct 16, 2018","0.48335","0.45983","0.48575","0.45520","391.84M","5.12%"
"Oct 15, 2018","0.45981","0.40834","0.50997","0.39902","884.05M","12.60%"
"Oct 14, 2018","0.40834","0.42245","0.42952","0.40554","222.97M","-3.32%"
"Oct 13, 2018","0.42235","0.42043","0.42995","0.41670","295.42M","0.43%"
"Oct 12, 2018","0.42055","0.38208","0.44525","0.37824","638.89M","10.07%"
"Oct 11, 2018","0.38209","0.46573","0.46574","0.37822","715.06M","-17.96%"
"Oct 10, 2018","0.46573","0.48156","0.48156","0.46220","252.60M","-3.29%"
"Oct 09, 2018","0.48157","0.49232","0.49325","0.47137","246.03M","-2.19%"
"Oct 08, 2018","0.49233","0.48247","0.49986","0.47979","329.33M","2.04%"
"Oct 07, 2018","0.48247","0.48890","0.49030","0.46854","282.52M","-1.30%"
"Oct 06, 2018","0.48883","0.52091","0.52183","0.46909","376.59M","-6.15%"
"Oct 05, 2018","0.52085","0.52870","0.53257","0.51070","332.77M","-1.49%"
"Oct 04, 2018","0.52871","0.52860","0.54900","0.52409","320.58M","0.03%"
"Oct 03, 2018","0.52855","0.51693","0.53720","0.50821","556.33M","2.23%"
"Oct 02, 2018","0.51702","0.57733","0.57982","0.51565","439.89M","-10.45%"
"Oct 01, 2018","0.57737","0.58272","0.60468","0.53364","801.49M","-0.92%"
"Sep 30, 2018","0.58274","0.56984","0.62065","0.56011","696.05M","2.27%"
"Sep 29, 2018","0.56983","0.53984","0.59224","0.52616","547.85M","5.59%"
"Sep 28, 2018","0.53969","0.54282","0.54983","0.51766","427.85M","-0.64%"
"Sep 27, 2018","0.54315","0.51250","0.55362","0.50887","475.46M","5.97%"
"Sep 26, 2018","0.51257","0.52570","0.57108","0.48556","1.10B","-2.50%"
"Sep 25, 2018","0.52570","0.49234","0.54544","0.43633","1.06B","6.78%"
"Sep 24, 2018","0.49234","0.57177","0.58246","0.48405","617.15M","-13.90%"
"Sep 23, 2018","0.57179","0.57341","0.59722","0.55814","509.87M","-0.28%"
"Sep 22, 2018","0.57338","0.56355","0.62702","0.49165","1.14B","1.75%"
"Sep 21, 2018","0.56351","0.45011","0.78848","0.42868","2.32B","25.20%"
"Sep 20, 2018","0.45010","0.32657","0.48648","0.32154","1.00B","37.85%"
"Sep 19, 2018","0.32650","0.31961","0.33474","0.31107","459.13M","2.15%"
"Sep 18, 2018","0.31965","0.27058","0.33525","0.26925","658.84M","18.13%"
"Sep 17, 2018","0.27058","0.28113","0.28352","0.26706","252.12M","-3.75%"
"Sep 16, 2018","0.28113","0.28041","0.28190","0.27427","168.88M","0.26%"
"Sep 15, 2018","0.28041","0.27610","0.28432","0.27600","184.85M","1.54%"
"Sep 14, 2018","0.27616","0.27915","0.28507","0.27206","255.48M","-1.07%"
"Sep 13, 2018","0.27914","0.26986","0.28537","0.26779","288.95M","3.44%"
"Sep 12, 2018","0.26986","0.26298","0.27310","0.25348","254.46M","2.62%"
"Sep 11, 2018","0.26298","0.26949","0.27454","0.25336","200.13M","-2.40%"
"Sep 10, 2018","0.26944","0.27636","0.28229","0.26017","229.06M","-2.41%"
"Sep 09, 2018","0.27608","0.27674","0.29040","0.27099","152.36M","-0.23%"
"Sep 08, 2018","0.27673","0.28715","0.29353","0.26981","149.45M","-3.59%"
"Sep 07, 2018","0.28704","0.30173","0.30370","0.28132","179.70M","-4.86%"
"Sep 06, 2018","0.30169","0.27887","0.30454","0.26895","315.37M","8.12%"
"Sep 05, 2018","0.27904","0.33076","0.33383","0.27790","385.13M","-15.64%"
"Sep 04, 2018","0.33078","0.33454","0.34103","0.32896","236.22M","-1.15%"
"Sep 03, 2018","0.33463","0.34199","0.34348","0.33346","199.93M","-2.15%"
"Sep 02, 2018","0.34199","0.34691","0.34905","0.33615","198.91M","-1.42%"
"Sep 01, 2018","0.34691","0.33507","0.35379","0.33493","210.88M","3.55%"
"Aug 31, 2018","0.33503","0.33491","0.34051","0.32802","194.86M","0.05%"
"Aug 30, 2018","0.33487","0.34481","0.34633","0.32336","235.47M","-2.88%"
"Aug 29, 2018","0.34480","0.35111","0.35456","0.33876","229.85M","-1.80%"
"Aug 28, 2018","0.35111","0.33877","0.35727","0.33484","274.10M","3.64%"
"Aug 27, 2018","0.33877","0.32298","0.33977","0.32194","212.43M","4.89%"
"Aug 26, 2018","0.32298","0.32725","0.32807","0.31863","152.97M","-1.30%"
"Aug 25, 2018","0.32725","0.32673","0.33165","0.32215","132.13M","0.16%"
"Aug 24, 2018","0.32673","0.32609","0.32840","0.31583","301.35M","0.20%"
"Aug 23, 2018","0.32608","0.31812","0.32903","0.31547","212.57M","2.59%"
"Aug 22, 2018","0.31786","0.33384","0.35425","0.31293","252.79M","-4.79%"
"Aug 21, 2018","0.33384","0.31467","0.33693","0.31347","176.64M","6.09%"
"Aug 20, 2018","0.31467","0.34231","0.35028","0.31354","274.84M","-8.07%"
"Aug 19, 2018","0.34230","0.32840","0.35214","0.31878","280.17M","4.24%"
"Aug 18, 2018","0.32838","0.36737","0.36987","0.31339","365.68M","-10.62%"
"Aug 17, 2018","0.36739","0.29157","0.37355","0.29113","394.42M","26.00%"
"Aug 16, 2018","0.29157","0.28020","0.30123","0.27585","233.84M","4.04%"
"Aug 15, 2018","0.28026","0.27289","0.30211","0.27277","330.90M","2.70%"
"Aug 14, 2018","0.27289","0.27446","0.27671","0.24706","284.66M","-0.57%"
"Aug 13, 2018","0.27446","0.29562","0.30905","0.27160","229.12M","-7.14%"
"Aug 12, 2018","0.29555","0.29745","0.30899","0.29468","180.17M","-0.68%"
"Aug 11, 2018","0.29757","0.31886","0.31958","0.28814","240.82M","-6.68%"
"Aug 10, 2018","0.31886","0.34384","0.34585","0.31328","222.24M","-7.28%"
"Aug 09, 2018","0.34388","0.33182","0.35740","0.32824","246.96M","3.64%"
"Aug 08, 2018","0.33179","0.37836","0.37836","0.32011","349.84M","-12.31%"
"Aug 07, 2018","0.37837","0.41288","0.41538","0.37516","191.01M","-8.36%"
"Aug 06, 2018","0.41287","0.43458","0.43655","0.40331","151.78M","-5.00%"
"Aug 05, 2018","0.43458","0.42964","0.43673","0.42711","114.40M","1.14%"
"Aug 04, 2018","0.42969","0.44072","0.44439","0.42776","111.79M","-2.49%"
"Aug 03, 2018","0.44065","0.43026","0.44641","0.42599","170.12M","2.42%"
"Aug 02, 2018","0.43025","0.44659","0.44800","0.42979","125.83M","-3.68%"
"Aug 01, 2018","0.44667","0.43498","0.46260","0.42709","173.07M","2.69%"
"Jul 31, 2018","0.43498","0.44603","0.44641","0.42703","147.97M","-2.48%"
"Jul 30, 2018","0.44603","0.45303","0.45623","0.43510","176.88M","-1.55%"
"Jul 29, 2018","0.45303","0.45679","0.45812","0.45024","122.50M","-0.81%"
"Jul 28, 2018","0.45675","0.45515","0.45675","0.44835","86.43M","0.35%"
"Jul 27, 2018","0.45516","0.44961","0.46053","0.44452","106.32M","1.25%"
"Jul 26, 2018","0.44956","0.45944","0.46859","0.44675","116.07M","-2.15%"
"Jul 25, 2018","0.45943","0.45793","0.46803","0.45175","150.95M","0.28%"
"Jul 24, 2018","0.45813","0.44518","0.46904","0.43846","200.28M","2.91%"
"Jul 23, 2018","0.44519","0.44934","0.46363","0.44311","116.74M","-0.93%"
"Jul 22, 2018","0.44938","0.45501","0.46318","0.44777","106.92M","-1.24%"
"Jul 21, 2018","0.45501","0.44462","0.45866","0.43529","98.11M","2.34%"
"Jul 20, 2018","0.44462","0.47694","0.47733","0.43109","175.09M","-6.78%"
"Jul 19, 2018","0.47694","0.48828","0.49439","0.47231","189.37M","-2.32%"
"Jul 18, 2018","0.48826","0.50699","0.52362","0.47608","225.29M","-3.69%"
"Jul 17, 2018","0.50696","0.48182","0.51878","0.46913","209.84M","5.20%"
"Jul 16, 2018","0.48190","0.44708","0.48352","0.44347","162.16M","7.79%"
"Jul 15, 2018","0.44708","0.43849","0.44939","0.43588","102.50M","1.96%"
"Jul 14, 2018","0.43849","0.43706","0.44276","0.43233","96.38M","0.28%"
"Jul 13, 2018","0.43727","0.43769","0.44491","0.43109","128.21M","-0.09%"
"Jul 12, 2018","0.43767","0.45024","0.45037","0.42522","127.92M","-2.79%"
"Jul 11, 2018","0.45023","0.44422","0.45221","0.44155","115.70M","1.35%"
"Jul 10, 2018","0.44422","0.47383","0.47408","0.44094","148.32M","-6.25%"
"Jul 09, 2018","0.47383","0.47887","0.48173","0.47232","162.79M","-1.05%"
"Jul 08, 2018","0.47886","0.48570","0.48725","0.47589","188.43M","-1.41%"
"Jul 07, 2018","0.48570","0.47774","0.48638","0.46533","177.17M","1.67%"
"Jul 06, 2018","0.47773","0.47779","0.48130","0.46024","172.98M","-0.01%"
"Jul 05, 2018","0.47779","0.49193","0.50101","0.47053","229.64M","-2.88%"
"Jul 04, 2018","0.49194","0.48514","0.50597","0.47745","182.33M","1.40%"
"Jul 03, 2018","0.48516","0.49005","0.51661","0.47953","278.80M","-1.00%"
"Jul 02, 2018","0.49005","0.46226","0.49433","0.45515","214.18M","6.01%"
"Jul 01, 2018","0.46226","0.46491","0.46558","0.44968","215.24M","-0.56%"
"Jun 30, 2018","0.46486","0.45531","0.48159","0.45450","251.84M","2.10%"
"Jun 29, 2018","0.45531","0.44753","0.46024","0.42570","182.93M","1.66%"
"Jun 28, 2018","0.44786","0.47164","0.47433","0.44555","141.22M","-5.08%"
"Jun 27, 2018","0.47186","0.45300","0.47602","0.44861","101.67M","4.15%"
"Jun 26, 2018","0.45304","0.48086","0.48190","0.45173","71.51M","-5.77%"
"Jun 25, 2018","0.48080","0.47450","0.49137","0.47257","96.46M","1.32%"
"Jun 24, 2018","0.47455","0.49028","0.49531","0.44064","172.04M","-3.12%"
"Jun 23, 2018","0.48983","0.48230","0.49530","0.47550","83.46M","1.56%"
"Jun 22, 2018","0.48230","0.53410","0.53488","0.47141","192.51M","-9.70%"
"Jun 21, 2018","0.53410","0.53989","0.54837","0.53052","85.20M","-1.07%"
"Jun 20, 2018","0.53989","0.54906","0.55003","0.52406","101.03M","-1.67%"
"Jun 19, 2018","0.54906","0.53826","0.56121","0.53521","112.20M","2.01%"
"Jun 18, 2018","0.53826","0.52551","0.54842","0.50636","128.41M","2.43%"
"Jun 17, 2018","0.52551","0.53297","0.54100","0.52219","100.52M","-1.40%"
"Jun 16, 2018","0.53297","0.53333","0.53794","0.51926","111.17M","-0.07%"
"Jun 15, 2018","0.53333","0.55665","0.55853","0.52882","115.01M","-4.16%"
"Jun 14, 2018","0.55650","0.52997","0.56577","0.52075","174.04M","5.03%"
"Jun 13, 2018","0.52987","0.55822","0.56121","0.50518","175.44M","-5.08%"
"Jun 12, 2018","0.55823","0.59927","0.59937","0.54725","140.84M","-6.85%"
"Jun 11, 2018","0.59928","0.58169","0.60043","0.56125","119.80M","3.03%"
"Jun 10, 2018","0.58167","0.65858","0.65868","0.55265","224.63M","-11.68%"
"Jun 09, 2018","0.65860","0.67251","0.68191","0.65755","88.58M","-2.07%"
"Jun 08, 2018","0.67251","0.67772","0.67958","0.65838","105.36M","-0.77%"
"Jun 07, 2018","0.67774","0.67323","0.68877","0.66866","110.51M","0.66%"
"Jun 06, 2018","0.67329","0.67605","0.68044","0.65535","126.75M","-0.39%"
"Jun 05, 2018","0.67594","0.65563","0.68390","0.63473","154.84M","3.04%"
"Jun 04, 2018","0.65597","0.68796","0.70431","0.63577","194.54M","-4.65%"
"Jun 03, 2018","0.68795","0.64290","0.68795","0.63935","127.98M","7.01%"
"Jun 02, 2018","0.64286","0.62113","0.65059","0.61547","145.53M","3.50%"
